Date,Open,High,Low,Close,Volume,hour_change,24hr_change
11/15/2015 16:00,345.64,346,326.5,342.98,51.46672606,-0.776,-7.775
11/15/2015 15:00,354.99,354.99,325,345.64,26.79012933,-2.705,-10.315
11/15/2015 14:00,331,354.99,330,354.99,90.75871408,6.758,-3.423
11/15/2015 13:00,336,336,331,331,2.49717426,-1.511,-3.993
11/15/2015 12:00,334.03,336,334.03,336,0.108115744,0.586,-4.859
11/15/2015 11:00,336,336,334.03,334.03,2.2512948,-0.59,-5.449
11/15/2015 10:00,336,336,336,336,0.093813086,0,-5.449
11/15/2015 9:00,336,336,336,336,0.01636904,0,-5.449
11/15/2015 8:00,334.22,336,334.22,336,0.32,0.53,-4.919
11/15/2015 7:00,334.22,334.22,334.22,334.22,0,0,-4.216
11/15/2015 6:00,333.58,335.39,333.58,334.22,0.6,0.191,-3.551
11/15/2015 5:00,333.58,333.58,333.58,333.58,0,0,-3.551
11/15/2015 4:00,337.69,337.69,333.58,333.58,17.9,-1.232,-4.783
11/15/2015 3:00,337.69,337.69,337.69,337.69,0,0,-4.783
11/15/2015 2:00,351.16,351.16,337.69,337.69,0.29,-3.989,-11.259
11/15/2015 1:00,351.15,351.16,349.94,351.16,29.88321102,0.003,-10.459
11/15/2015 0:00,349.99,351.15,344.8,351.15,16.56600283,0.33,-8.098
11/14/2015 23:00,343.51,349.99,340.5,349.99,89.68347105,1.851,-7.53
11/14/2015 22:00,343.51,343.51,343.51,343.51,0,0,-6.24
11/14/2015 21:00,341,343.51,340.99,343.51,7.928952417,0.731,-6.74
11/14/2015 20:00,335.15,341,335,341,15.05347147,1.716,-1.584
11/14/2015 19:00,338,338,335.15,335.15,0.025,-0.85,-5.446
11/14/2015 18:00,333.58,340,333.58,338,4.346167898,1.308,-4.076
11/14/2015 17:00,337.6,337.6,333.58,333.58,3.153,-1.205,-4.905
11/14/2015 16:00,337.6,337.6,337.6,337.6,8.6,0,1.146
11/14/2015 15:00,337.6,340.85,337.6,337.6,38.86035982,0,1.922
11/14/2015 14:00,337.6,337.6,337.6,337.6,13.24492152,0,4.627
11/14/2015 13:00,337.6,340.1,337.6,337.6,20.99505623,0,-2.131
11/14/2015 12:00,337.6,337.6,337.6,337.6,0,0,-0.62
11/14/2015 11:00,337.6,337.6,337.6,337.6,0,0,-1.206
11/14/2015 10:00,340,341,337.6,337.6,12.4,-0.711,-1.327
11/14/2015 9:00,340,340,340,340,0,0,-1.327
11/14/2015 8:00,340,340,340,340,0,0,-1.327
11/14/2015 7:00,340,340,340,340,0,0,-1.857
11/14/2015 6:00,340,340,340,340,0,0,-1.857
11/14/2015 5:00,340,340,340,340,0,0,-2.048
11/14/2015 4:00,340,353,340,340,31.67793187,0,-2.048
11/14/2015 3:00,337.6,350,337.6,340,47.86800398,0.706,-0.11
11/14/2015 2:00,332.92,2200,332.92,337.6,258.8137892,1.386,1.276
11/14/2015 1:00,336.5,336.5,332.92,332.92,23.84136659,-1.075,4.19
11/14/2015 0:00,337.08,337.08,336.5,336.5,40,-0.172,4.015
11/13/2015 23:00,339.65,339.65,337.08,337.08,0.60020043,-0.762,2.923
11/13/2015 22:00,334,339.65,333.6,339.65,103.1,1.663,2.735
11/13/2015 21:00,333,336.57,332.68,334,14.20504516,0.299,3.034
11/13/2015 20:00,333,333,333,333,0,0,2.303
11/13/2015 19:00,333,334,333,333,55.47146306,0,0.587
11/13/2015 18:00,331,333.01,331,333,36.06168754,0.601,2.038
